_1;recno;RAJ2000;DEJ2000;e_RAJ2000;e_DEJ2000;Vmag;e_Vmag;Bmag;e_Bmag
 ; ;deg;deg;arcsec;arcsec;mag;mag;mag;mag
----------------------------------------;--------;----------;----------;------;------;------;------;------;------

266;;;;;;;;;

267;;;;;;;;;

268                                     ;27925215;264.809547;-32.006403; 1.017; 0.725;15.579; 0.062;16.897; 0.174

269;;;;;;;;;

270;;;;;;;;;

271;;;;;;;;;

272;;;;;;;;;

273;;;;;;;;;

274;;;;;;;;;

275                                     ;27926584;265.124245;-32.008562; 1.089; 0.815;15.255; 0.008;16.614; 0.052

276                                     ;27925038;264.912135;-32.008271; 0.450; 0.807;15.471; 0.000;18.006; 0.226

277;;;;;;;;;

278;;;;;;;;;

279                                     ;27911560;265.268993;-32.010201; 0.814; 0.918;15.328; 0.048;16.300; 0.061

280;;;;;;;;;

281;;;;;;;;;

282;;;;;;;;;

283                                     ;27925046;264.847446;-32.009319; 1.049; 0.702;15.846; 0.059;17.065; 0.093

284                                     ;27926598;265.065717;-32.009656; 0.236; 0.494;14.345; 0.025;15.036; 0.009

285                                     ;27925037;264.974292;-32.009474; 1.323; 0.978;      ;      ;      ;

286;;;;;;;;;

287;;;;;;;;;

288;;;;;;;;;

289                                     ;27925035;264.966518;-32.010923; 0.322; 0.327;13.975; 0.031;14.774; 0.016

290;;;;;;;;;

291;;;;;;;;;

292;;;;;;;;;

293;;;;;;;;;

294                                     ;27926592;265.024010;-32.012186; 0.105; 0.233;12.481; 0.038;12.965; 0.013

295;;;;;;;;;

296;;;;;;;;;

297;;;;;;;;;

298;;;;;;;;;

299;;;;;;;;;

300;;;;;;;;;

301;;;;;;;;;

302;;;;;;;;;

303;;;;;;;;;

304;;;;;;;;;

305;;;;;;;;;

306;;;;;;;;;

307                                     ;27925135;264.643930;-32.013441; 1.315; 1.181;15.872; 0.014;17.721; 0.000

308                                     ;27925034;264.954202;-32.015642; 0.752; 0.766;15.947; 0.054;16.759; 0.059

309;;;;;;;;;

310;;;;;;;;;

311;;;;;;;;;

312;;;;;;;;;

313;;;;;;;;;

314;;;;;;;;;

315;;;;;;;;;

316;;;;;;;;;

317;;;;;;;;;

318;;;;;;;;;

319                                     ;27926596;265.053060;-32.018150; 0.498; 0.710;      ;      ;      ;

320;;;;;;;;;

321;;;;;;;;;

322                                     ;27911563;265.277081;-32.019982; 0.109; 0.307;12.970; 0.040;14.122; 0.010

323;;;;;;;;;

324;;;;;;;;;

325                                     ;27925213;264.740826;-32.018816; 0.626; 0.868;      ;      ;      ;

326;;;;;;;;;

327;;;;;;;;;

328;;;;;;;;;

329;;;;;;;;;

330;;;;;;;;;

331;;;;;;;;;

332;;;;;;;;;

333;;;;;;;;;

334;;;;;;;;;

335;;;;;;;;;

336                                     ;27925032;264.904713;-32.022192; 0.092; 0.199;12.362; 0.032;13.067; 0.013

337                                     ;27911557;265.295301;-32.024516; 0.564; 0.448;      ;      ;      ;

338                                     ;27925015;264.830164;-32.022294; 0.173; 0.496;13.609; 0.026;14.308; 0.018

339;;;;;;;;;

340;;;;;;;;;

341;;;;;;;;;

342;;;;;;;;;

343;;;;;;;;;

344                                     ;27911504;265.334068;-32.024697; 0.322; 0.483;14.370; 0.044;15.194; 0.038

345;;;;;;;;;

346;;;;;;;;;

347;;;;;;;;;

348;;;;;;;;;

349;;;;;;;;;

350                                     ;27911555;265.245790;-32.026257; 0.853; 1.014;15.611; 0.050;16.808; 0.066

351                                     ;27911556;265.253056;-32.026337; 0.930; 0.741;15.782; 0.037;16.798; 0.142

352;;;;;;;;;

353                                     ;27925033;264.948958;-32.025219; 0.720; 0.632;15.180; 0.030;16.129; 0.072

354;;;;;;;;;

355;;;;;;;;;

356;;;;;;;;;

357;;;;;;;;;

358;;;;;;;;;

359;;;;;;;;;

360;;;;;;;;;

361                                     ;27911566;265.203981;-32.027709; 0.425; 0.358;13.635; 0.033;14.725; 0.010

362;;;;;;;;;

363;;;;;;;;;

364;;;;;;;;;

365;;;;;;;;;

366;;;;;;;;;

367;;;;;;;;;

368                                     ;27925042;264.858420;-32.027224; 0.653; 0.604;13.849; 0.034;14.707; 0.038

369                                     ;27911548;265.163255;-32.028955; 0.124; 0.314;12.467; 0.052;12.963; 0.020

370;;;;;;;;;

371;;;;;;;;;

372                                     ;27925011;264.796256;-32.028494; 1.180; 0.941;16.321; 0.000;18.246; 0.000

373;;;;;;;;;

374                                     ;27911502;265.317504;-32.032088; 1.021; 1.028;15.144; 0.088;15.996; 0.006
374                                     ;27911503;265.317638;-32.032048; 0.713; 1.015;15.138; 0.066;16.024; 0.017

375;;;;;;;;;

376                                     ;27926593;265.033273;-32.031648; 1.012; 0.867;15.948; 0.071;17.353; 0.248

377;;;;;;;;;

378;;;;;;;;;

379;;;;;;;;;

380;;;;;;;;;

381;;;;;;;;;

382;;;;;;;;;

383;;;;;;;;;

384;;;;;;;;;

385;;;;;;;;;

386;;;;;;;;;

387;;;;;;;;;

388;;;;;;;;;

389;;;;;;;;;

390;;;;;;;;;

391;;;;;;;;;

392;;;;;;;;;

393;;;;;;;;;

394;;;;;;;;;

395                                     ;27925028;264.880777;-32.033983; 0.997; 0.853;15.578; 0.069;      ;
395                                     ;27925029;264.880962;-32.034175; 0.675; 0.779;15.418; 0.113;16.438; 0.046

396;;;;;;;;;

397;;;;;;;;;

398                                     ;27926580;265.065515;-32.035095; 0.834; 0.714;16.013; 0.115;16.999; 0.202

399;;;;;;;;;

400;;;;;;;;;

401;;;;;;;;;

402;;;;;;;;;

403;;;;;;;;;

404;;;;;;;;;

405;;;;;;;;;

406                                     ;27925127;264.667004;-32.036249; 1.588; 1.385;      ;      ;      ;
406                                     ;27925128;264.667452;-32.036738; 0.573; 0.876;      ;      ;      ;

407;;;;;;;;;

408;;;;;;;;;

409;;;;;;;;;

410;;;;;;;;;

411;;;;;;;;;

412                                     ;27911554;265.245776;-32.040259; 1.180; 0.802;16.402; 0.123;17.766; 0.213

413;;;;;;;;;

414;;;;;;;;;

415;;;;;;;;;

416;;;;;;;;;

